Perspektive_ID	Variable	Name	Rolle	Einleitung_Atmosphere	Charakter_Motivation
P_TYP_01	{BOSS}	Govaart	Boss von Macan Island	Die Tropensonne brennt auf Bulan Bay. Govaart behält von seiner Terrasse aus alle Schienen im Auge.	Govaart schätzt absolute Pünktlichkeit. Wer die Fracht sauber und schnell abliefert, kann mit einer dicken Prämie und feinstem Rum rechnen.
P_TYP_02	{KOCH}	Heidelberg	Leiter Meth-Labor	Im unterirdischen Bunkersystem von Oshira tropft feuchtes Kondenswasser von den Betondecken.	Heidelberg verlangt höchste Präzision. Klappt der Transport reibungslos, legt er eine Sonderration reinsten Spezial-Proviant oben drauf.
P_TYP_03	{KOOPERATIVE_CHEF}	Nyoman	Leiter Kelapa-Kooperative	In den ausgedehnten Palmhainen von Baraki Palms herrscht drückende, feuchte Tropenhitze.	Nyoman ist dankbar für jede Hilfe. Er packt selbst mit an und sorgt dafür, dass die Lokführer frisches Kokoswasser und schattige Ränge bekommen.
P_TYP_04	{FISHWORKS_LEITER}	Wayan	Leitung Kalanga Fishworks	Ein beißender Verwesungsgeruch alter Thuna-Kadaver liegt über den Schienen vor den Fischhallen.	Wayan packt der Stress, aber er belohnt Einsatz. Läuft der Fisch pünktlich ins Werk, gibt es für das Team die besten Räucherfisch-Spezialitäten der Insel.
P_TYP_05	{GANG}	Macan Garde	Söldner-Miliz	Die bewaffneten Söldner der Macan Garde patrouillieren entspannt entlang der Gütergleise.	Die Garde hält euch den Rücken frei. Solange der Zug rollt, sorgen die Jungs an den Weichen für freie Fahrt und gute Stimmung.
P_TYP_06	{BEWOHNER}	Macang	Einheimische Inselbewohner	Die einheimischen Inselbewohner beobachten das Rangieren mit ruhigem, aufmerksamem Blick.	Die Dorfgemeinschaft hilft beim Verladen. Wenn die Lieferung klappt, laden sie die Crew abends zum gemeinsamen Insel-Fest ein.
P_TYP_07	{POLITIKER}	Bürgermeister Washington	Leiter Zivilverwaltung	Bürgermeister Washington schwitzt in seinem feuchten Verwaltungsbüro in Port Varan.	Washington setzt auf gute Zusammenarbeit. Wenn der Betriebsablauf friedlich bleibt, winkt eine offizielle Belobigung und freie Fahrt im Hafen.
P_TYP_08	{REBELLIN}	Ma'an	Guerilla-Kämpferin	Lautlos schleicht Ma'an durch das Dschungeldickicht entlang der eingleisigen Bergstrecke.	Ma'an beobachtet alles exakt. Verhaltet ihr euch fair gegenüber den Leuten, sorgt ihr Trupp verdeckt dafür, dass die Bergstrecke frei von Hindernissen bleibt.
P_TYP_09	{REBELLEN_CHEF}	Wokong	Oberhaupt des Widerstands	Aus dem Schatten des Berges Oshira behält Wokong den Fahrplan der Hauptstrecke im Blick.	Wokong respektiert echte Eisenbahner. Rollt die Fracht ohne Zwischenfälle, garantiert sein Widerstand die Sicherheit eurer Trasse.
P_TYP_10	{NUSSSAMMLER}	Ma'coco	Arbeiter Baraki Palms	Rauch steigt von den Trockenöfen auf, während entkräftete Arbeiter Säcke verladen.	Ma'coco und seine Jungs geben alles beim Rangieren. Nach geschaffter Schicht teilen sie gerne ihre frischen Tropenfrüchte mit der Mannschaft.
P_TYP_11	{HAFENMEISTERIN}	Miss Adelaide	Hafenmeisterin Port Varan	Kreischende Möwen kreisen über den morschenden Holzstegen des Hafens von Port Varan.	Miss Adelaide hält nicht viel von Trödelei. Wenn ihr die Kaimauer zügig räumt, spendiert sie eine Kanne starken Hafen-Kaffee und beste Anlegeplätze.
