ID	Story_Titel	Akteur_Variable	Auslöser_Kontext	Fracht_Name	Start_Gleis	Ziel_Gleis	Waggon_Vorgabe	Story_Text_Dynamisch	Fracht_ID
S1	Verdächtige Aktivität	{BOSS} / {GANG}	{BOSS} vermutet Spionage durch die Rebellen um {REBELLEN_CHEF}.	Kristallines Meth	Oshira Stollen Küche	Port Varan Nord	Gedeckte Tonne	{BOSS} traut der Lage an der Küste nicht. Die {REBELLIN} um {REBELLEN_CHEF} könnten die Fracht in {START} entdeckt haben. Schaffe {FRACHT} unverzüglich im Waggon '{WAGGON}' nach {ZIEL}.	F9
S2	Kutter-Anlandung	{GANG} / {BEWOHNER}	Ein Küstenkutter hat Ware an den Klippen angelandet.	Frischefisch	Port Varan Nord	Kalanga Fishworks Nord	Frost-Festung	Ein alter Küstenkutter hat Beute gemacht. {FRACHT} wurde in {START} angelandet und muss im Waggon '{WAGGON}' nach {ZIEL} gebracht werden.	F1
S3	Abgaben-Rückstand	{KOOPERATIVE_CHEF} / {GANG}	Die Abgaben wurden nicht pünktlich abgeliefert.	Kokosnüsse	Port Varan Süd	Baraki Palms	Kisten Kasten	{KOOPERATIVE_CHEF} hängt mit den Abgaben hinterher. {BOSS} lässt {FRACHT} in {START} beschlagnahmen und ordnet die Verlegung im Waggon '{WAGGON}' nach {ZIEL} an.	F4
S4	Labor-Engpass	{KOCH}	Im feuchten Stollen droht der Synthese-Prozess zu kippen.	Roh-Chemikalien	Port Varan Nord	Oshira Stollen Küche	Kessel-VTG	Im feuchten Bunker droht der Prozess von {KOCH} zu kippen. {FRACHT} wird dringend bei {START} abgeholt und im Waggon '{WAGGON}' nach {ZIEL} geschafft.	F8
S5	Wachen-Verpflegung	{FISHWORKS_LEITER} / {GANG}	Die Wachen fordern Verpflegung ein.	Fischkonserven	Kalanga Fishworks Süd	Port Varan Nord	Alpen-Kasten	Der Nachschub stockt. Um die disziplinlosen Wachen der {GANG} milde zu stimmen, wird {FRACHT} auf der Endbühne des Waggons '{WAGGON}' von {START} nach {ZIEL} verlegt.	F2
S6	Guerilla-Aktivität	{REBELLIN} / {REBELLEN_CHEF}	{REBELLEN_CHEF} Späher wurden in den Hügeln gesehen.	Wachgruppe	Port Varan Süd	Oshira Stollen Küche	Personenwagen	{REBELLEN_CHEF} Späher wurden in den Hügeln gesehen. Der Transport von {FRACHT} im Waggon '{WAGGON}' von {START} nach {ZIEL} muss vor Einbruch der Nacht abgeschlossen sein.	F14
S7	Hitze-Verderb	{FISHWORKS_LEITER}	Die feuchte Tropenhitze bedroht die Haltbarkeit der Ware.	Frischefisch	Port Varan Nord	Kalanga Fishworks Nord	Kalter Rausch	Die heute ungewöhnliche starke Hitze staut sich in den Waggons. {FISHWORKS_LEITER} befiehlt, {FRACHT} sofort von {START} nach {ZIEL} abzutransportieren. Falls das Aggregat am Waggon '{WAGGON}' streikt, gilt Expressfahrt!	F1
S8	Strom-Schwankung	{BOSS} / {KOOPERATIVE_CHEF}	Die Generatoren zur Stromunterstützung benötigen Nachschub.	Treibstoff	Port Varan Nord	Baraki Palms	SHELL	Die improvisierte Elektrik droht auszufallen. {FRACHT} muss zur Aufrechterhaltung des Betriebs zügig im Waggon '{WAGGON}' von {START} nach {ZIEL} rangiert werden.	F11
S9	Bunker-Grabung	{KOCH}	Arbeiter stießen bei Stollenarbeiten auf alte Rückstände.	Labor-Abwasser	Oshira Stollen Küche	Port Varan Süd	Kessel-VTG	Beim Erweitern der Räume stieß die Crew von {KOCH} auf Altlasten. Um Neugierige fernzuhalten, muss {FRACHT} im Waggon '{WAGGON}' von {START} nach {ZIEL} verlegt werden.	F10
S10	Unwetter-Warnung	{POLITIKER}	Ein Tropensturm zieht über die Bulan Bay auf.	Kokosöl	Baraki Palms	Kalanga Fishworks Nord	Kessel	{POLITIKER} warnt vor einem heranziehenden Tropensturm. {FRACHT} droht in {START} Schaden zu nehmen und muss im Waggon '{WAGGON}' sturmsicher nach {ZIEL} gebracht werden.	F5
S11	Reinigungs-Bedarf	{FISHWORKS_LEITER}	Ein Waggon wird für eine neue Frachtart benötigt.	Reinigungsmittel & Säure	Port Varan Nord	Kalanga Fishworks Nord	Kessel-VTG	Für den bevorstehenden Warenwechsel verlangt {FISHWORKS_LEITER} eine Grundreinigung der Anlagen. {FRACHT} muss im Waggon '{WAGGON}' von {START} nach {ZIEL} transportiert werden.	F13
S12	Sabotage-Verdacht	{REBELLEN_CHEF}	Die Stromzufuhr zum Stollen wurde gekappt.	Treibstoff	Port Varan Nord	Oshira Stollen Abstellung	SHELL	Rebellen um {REBELLEN_CHEF} haben die Stromversorgung sabotiert. {FRACHT} für die Notaggregate muss im Waggon '{WAGGON}' rasch von {START} nach {ZIEL} befördert werden.	F12
