Baustein_ID	Fracht_ID	Perspektive_Typ	Akteur_Sender	Akteur_Empfaenger	Ursache_Kontext	Dialog_Forderung	Dialog_Drohung
SB01	F1	Macht_Druck	{FISHWORKS_LEITER}	{GANG}	Die Schwarzflotte hat Frischfisch angelandet, der Kühlhausspeicher droht auszufallen.	Schafft den Frischefisch sofort vom Anleger ins Werk!	Wenn die Fracht am Kai vergammelt, lässt {BOSS} euch am Kran aufknüpfen.
SB02	F1	Angst_Verderb	{FISHWORKS_LEITER}	{BEWOHNER}	Die feuchte Tropenhitze lässt die Fische am Steg bereits weich werden.	Bringt den Fang umgehend mit der 'Frost-Festung' zu Kalanga Fishworks Nord!	Wenn das Stinken anfängt, streicht {BOSS} euch die Fischrationen.
SB03	F2	Export_Zwang	{BOSS}	{FISHWORKS_LEITER}	Ein Frachter liegt in Bulan Bay auf Reede und wartet auf die Konserven-Kisten.	Verladet die Fischkonserven im 'Alpen-Kasten' und schickt sie zum Hafen!	Verpasst das Schiff nicht, sonst landet {FISHWORKS_LEITER} selbst in der Presse.
SB04	F2	Guerilla_Gefahr	{FISHWORKS_LEITER}	{GANG}	Späher um {REBELLEN_CHEF} wollen die fertigen Konserven für ihre Kämpfer abfangen.	Schafft die Fischkonserven im 'Alpen-Kasten' mit bewaffneter Eskorte nach Port Varan Nord!	Wenn Wokong die Konserven in die Finger kriegt, zahlt ihr den Schaden mit Blut.
SB05	F3	Hygiene_Gefahr	{FISHWORKS_LEITER}	{NUSSSAMMLER}	Die Fliegenplage an den Kalanga-Südgleisen macht die Arbeit unerträglich.	Rangiert die Fischabfälle mit dem 'Niederbord kurz' sofort weg nach Port Varan Süd!	Wenn der Gestank rüber nach Baraki Palms zieht, hetzt die {GANG} Hunde auf euch.
SB06	F3	Geruchs_Umladung	{POLITIKER}	{FISHWORKS_LEITER}	Bürgermeister Washington beschwert sich über Verwesungsgeruch nahe den Wohnbaracken.	Bringt die Fischabfälle im 'Niederbord kurz' weg von Kalanga Fishworks Süd!	Schafft den Gestank fort, bevor die Siedler einen Aufstand gegen {BOSS} proben.
SB07	F4	Ausbeutung	{BOSS}	{KOOPERATIVE_CHEF}	Die Lagerhallen in Baraki Palms benötigen Nachschub an frischen Kokosnüssen.	Hole die Kokosnüsse im 'Kisten Kasten' von Port Varan Süd und bring sie zu {KOOPERATIVE_CHEF}!	Liefert {KOOPERATIVE_CHEF} nicht pünktlich, brennt die {GANG} die nächsten Palmeras nieder.
SB08	F4	Hungersnot	{KOOPERATIVE_CHEF}	{BEWOHNER}	Die eintreffenden Schiffe haben keine Nahrung gebracht, die Nusssammler sind entkräftet.	Schafft frische Kokosnüsse im 'Kisten Kasten' nach Baraki Palms!	Wenn wir die Nüsse nicht verarbeiten, haben die {NUSSSAMMLER} heute Nacht nichts zu essen.
SB09	F5	Prozess_Kette	{KOOPERATIVE_CHEF}	{FISHWORKS_LEITER}	Das gepresste Speiseöl ist abfüllbereit, um die Fischkonserven anzureichern.	Transportiere das Speiseöl im 'Kessel' von Baraki Palms nach Kalanga Fishworks Nord!	Achtung: Falls ihr 'SHELL' nutzt, verlangt {FISHWORKS_LEITER} vorher eine Spülfahrt mit Reinigungsmittel!
SB10	F5	Terror_Erpressung	{BOSS}	{FISHWORKS_LEITER}	Wayan jammert wegen fehlendem Öl für die Konservenherstellung.	Bringe das Kokosöl aus Baraki Palms umgehend zu Kalanga Fishworks Nord!	Wenn der Fisch ohne Öl verfällt, schicke ich die {GANG} zu deinen Fischhallen.
