Gattung	Modell-Hersteller	Artikelnummer	Abkürzung	Funktion	Einsatzzeit Westeuropa	Lade-Kapazität	Merkmal	Name	Einsatz heute	Primäre Nutzung	Grund für (primäre) Nutzung	Start	Ziel	Foto-Link
Güterzugbegleitwagen	Piko	6410-05	Pwg	Begleitung von Güterzügen, Arbeitsplatz für den Zugführer	Epoche III/IV (1950–1980)	5,0 t	Grün / graues Dach mit Dachkanzel / offene Plattform hinten	Personenwagen	Personen		Einziger intakter Personenwaggon			https://upload.wikimedia.org/wikipedia/commons/3/3f/Pwg_3360_Dresden.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original
Gedeckter Güterwagen	Fleischmann	5003 / 5300	Cs 210	Transport von witterungsempfindlichem Stückgut	Epoche IV (1968–1990)	ca. 25,0 t	Braun / verwittertes Tonnendach / Y-Eckstreben / DB / Cs 210	Gedeckte Tonne	Stückgut		Hohe Deckenhöhe ermöglicht hohes Stapeln insbesondere von Kisten			https://upload.wikimedia.org/wikipedia/commons/a/ae/Gedeckter-G%C3%BCterwagen-Gs210.JPG?utm_source=de.wikipedia.org&utm_campaign=index&utm_content=thumbnail_unscaled
Gedeckter Güterwagen	Fleischmann / Trix	5001 / 5010	G (G10)	Stückgut, Sackwaren & allgemeine Fracht	Epoche III (1945–1968)	10,3 t	Braun / flaches graues Dach / waagerechte Holzbeplankung	Kisten Kasten	Stückgut	Kokosnüsse	geringe Deckenhöhe begünstigt Beladung mit losen Gütern			https://upload.wikimedia.org/wikipedia/commons/a/a5/DB_G10.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original
Gedeckter Spezialkühlwagen	Piko	2802 / 2016	F / Hg	Spezialtransport von Vermouth & Wein	Epoche III/IV (1955–1980)	ca. 15,0 t	Cremeweiß / flaches Dach / rotes CINZANO-Logo / FS Italia	Kalter Rausch	Stückgut / Kühlfracht		Unzuverlässiges Kühlaggregat (improvisierte Konstruktion), daher seltener für Kühlfracht im Einsatz			https://kartonmodellshop.de/images/product_images/original_images/21572.jpg
Kesselwagen	Piko	57707	Zs	Transport von Treibstoffen, Benzin & Leichtölen	Epoche III/IV (1955–1985)	ca. 21,0 t	Knallgelb / roter SHELL-Schriftzug + Muschel / schwarzes Fahrgestell	SHELL	Tank	Treibstoff	Kontaminationsrisiko bei anderer Zweckverwendung			https://modelleisenbahngebraucht.de/media/image/product/414231/lg/piko-h0-57707-kesselwagen-shell-db~2.webp
Niederbordwagen	Roco	46034.B	Rm	Transport von Aggregaten und schweren Bauteilen	Epoche III/IV (1955–1990)	ca. 20,0 t	Niederbordwagen mit Aggregat-Ladung / DB 673 128 010	Niederbord kurz	Schüttgut und Großwaren	Fischabfälle	Fauler Kompromiss, stinkt fürchterlich			https://i.ebayimg.com/images/g/VyUAAOSwe5BmPghP/s-l1200.jpg
Kesselwagen	Piko	5410	Zs	Transport von Schweröl, Rohöl & Chemikalien	Epoche III/IV (1960–1995)	ca. 24,0 t	Dunkelgrau / weißes VTG-Flügellogo / Plattform hinten	Kessel-VTG	Tank	Lösungsmittel / Reinigungsmittel	die anderen Kesselwagen sind meist anderweitig in Verwendung			https://www.piko-shop.de/media/oart_0/oart_490/10741_1532_57703.jpg
Gedeckter Kühlwagen	Piko	6414-05	Gw	Transport gekühlter Lebensmittel (Fleisch, Fisch, Milch)	Epoche IV (1968–1990)	ca. 17,0 t	Cremeweiß / graues Tonnendach / Aufschrift Kühlwagen / DR	Frost-Festung	Kühlfracht	Fisch	Hervorragendes Kühlaggregat			https://i.ebayimg.com/thumbs/images/g/MkQAAeSwMtZqmv9j/s-l500.jpg
Gedeckter Güterwagen	Piko	54094	K3	Grenzüberschreitender Stückguttransport	Epoche III/IV (1950–1985)	ca. 15,0 t	Hellgrau / silberne Schiebetür mittig / offene Endbühne / SBB CFF	Alpen-Kasten	Stückgut	Konservendosen	Endbühne ermöglicht Mitfahrt von Personen, insbesondere Wachleuten			https://allerlei-online.de/wp-content/uploads/2024/11/DSC00380.jpg
Kesselwagen	Piko	6420-05	Zs	Transport von Petroleum & Raffinerieprodukten	Epoche IV (1970–1990)	ca. 33,0 m³	Dunkelgrau / hohes schwarzes Geländer oben / Aufschrift Petroleum	Kessel	Tank	Kokosöl	Kontaminationsrisiko bei anderer Zweckverwendung			https://m.media-amazon.com/images/I/61fz1kFZa-L.jpg
