ID	Event_Name	Typ	Beschreibung	Betroffener_Bereich	Aktions_Vorgabe	Gueltig_Fuer_Trigger
E1	Gestank & Hygiene-Auflage	Waggon-Hygiene	Nach dem Transport von Fischabfällen beschwert sich die Betriebsleitung über Verunreinigungen.	Kalanga Fishworks / Baraki Palms / Port Varan	Waggon muss vor dem nächsten Lebensmitteltransport durch eine Leerfahrt/Spülung freigegeben werden.	Nur bei Fracht F3 oder Nutzung von 'Niederbord kurz' / 'Kisten Kasten'
E2	Rebellen-Späher gesichtet	Sicherheits-Regel	Späher um {REBELLEN_CHEF} wurden an der Strecke gesehen. Der Zug muss gesichert werden.	Gesamte Strecke	Füge den Personenwagen (Pwg) oder den Alpen-Kasten mit Wachen der {GANG} an die Zugspitze an.	Alle Aufträge möglich (Zufall)
E3	Elektrik-Ausfall Baraki	Gleissperrung	Das Solardach in Baraki Palms hat einen Kurzschluss. Die Zufahrt ist erschwert.	Baraki Palms	Gleis Baraki Palms darf in dieser Runde nicht als Zwischenabstellgleis genutzt werden.	Nur bei Aufträgen mit Start oder Ziel 'Baraki Palms'
E4	Kühlungs-Defekt	Material-Tausch	Das Kühlaggregat beim Waggon 'Kalter Rausch' streikt spontan.	Kalanga Fishworks Nord	Der Transport muss bevorzugt als Expressfahrt abgewickelt oder auf 'Frost-Festung' umgeladen werden.	Nur bei Fracht F1 (Frischefisch) und Nutzung von Waggon 'Kalter Rausch'
E5	Kontroll-Verdacht	Tarnungs-Zwang	Fremde Kutter kreuzen vor Bulan Bay. Wertvolle Fracht muss verdeckt transportiert werden.	Port Varan Nord / Oshira Stollen Küche	Fracht nur in gedeckten Waggons ('Gedeckte Tonne') hinter Stückgut-Tarnung befördern.	Nur bei Fracht F8 (Roh-Chemikalien) oder F9 (Kristallines Meth)
E6	Weichen-Blockade	Betriebs-Anweisung	An der Stollen-Zufahrt klemmt die Weiche für schwere Lokomotiven.	Oshira Stollen Abstellung	Nutze die Kleinlok auf Oshira Stollen Abstellung zum Rangieren der Waggons.	Nur bei Aufträgen von/nach 'Oshira Stollen Küche' oder 'Abstellung'
E7	Reinigung erforderlich	Betriebs-Auflage	Ein Kesselwagen wurde vorher für Treibstoff/Abwasser genutzt und soll nun Speiseöl aufnehmen.	Baraki Palms / Kalanga Fishworks Nord	Führe zuerst eine Reinigungsfahrt mit Reinigungsmittel (Kessel-VTG) ab Port Varan Nord durch.	Nur bei Fracht F5 (Kokosöl) bei Nutzung von Waggon 'SHELL' oder 'Kessel'
E8	Stollen-Feuchtigkeit	Zeitdruck	Die Luftfeuchtigkeit im Bunker steigt. {KOCH} dringt auf schnelle Anlieferung.	Oshira Stollen Küche	Chemikalien-Kesselwagen innerhalb der laufenden Session direkt am Ziel bereitstellen.	Nur bei Fracht F8 (Roh-Chemikalien) oder F10 (Labor-Abwasser)
E9	Schiff-Verspätung Bulan Bay	Logistik-Stau	Der Frachter in Bulan Bay hat Verspätung. Die Kais in Port Varan Nord sind blockiert.	Port Varan Nord	Frachtwagen vorübergehend auf Gleis Port Varan Süd oder Abstellung parken.	Nur bei Aufträgen mit Ziel 'Port Varan Nord'
E10	Guerilla-Nagelsperre	Gleis-Gefahr	{REBELLIN} Ma'an hat Krähenfüße auf den Schwellen nahe den Palmhainen verstreut.	Baraki Palms	Rangierfahrt nur mit Schrittgeschwindigkeit durchführen.	Nur bei Fahrten durch den Bereich Baraki Palms
