ID	Funktion	Name	Eigenschaften	Hierarchiestufe	Template_Variable	Icon
P1	Boss (kontrolliert faktisch die ganze Insel)	Govaart	gerissen, impulsiv, hinterlistig, gierig, Asket, Chef von {KOCH} {FISHWORKS_LEITER} und {GANG}	1	{BOSS}	Krone
P2	Koch	Heidelberg	ruhig, gebildet, zielstrebig, gewissenhaft, Deutscher, leitet das Meth-Labor im Oshira Stollen	2	{KOCH}	Kristall
P3	Vorsitzender der Kelapa-Kooperative die Baraki Palms betreibt	Nyoman	untergewichtiger Bauer, introvertiert, konfliktscheu, kommt von Macan, aber hat die Produktionsabläufe auf Sumatra gelernt, kam aus Heimweh zurück, fleißig, wird respektiert von Indigenen, Dauerkonflikt mit {GANG}. Chef der {NUSSSAMMLER}	4	{KOOPERATIVE_CHEF}	Vier Hände die Kokosnuss halten
P4	Leitung Kalanga Fishworks	Wayan	eingebildet, kräftig, faul, nachlässig	3	{FISHWORKS_LEITER}	Thunfisch
P5	Gang die im Auftrag von {BOSS} die Insel kontrolliert	Macan Garde	Gruppe, überwiegend Indigene teils auch Seefahrer aus dem Pazifik, die auf Macan minimal besseres Leben haben, wenn sie sich {BOSS} unterordnen	5	{GANG}	Piratenflagge
P6	Inselbewohner	Macang	sind überwiegend auf der Insel geboren, teils auch gestrandete Matrosen, verdienen sich ihren Lebensunterhalt überwiegend mit Subsistenzwirtschaft, viele erbringen Dienstleistungen für die Gang (Waschen, Prostitution etc.), werden von {GANG} und {BOSS} grundlos drangsaliert und schikaniert, der Terror brodelt, doch sie sind friedliebend	6	{BEWOHNER}	Vulkan Berg
P7	Politiker	Bürgermeister Washington	machtloser Chef der örtlichen Verwaltung, der eigentlich nur Butter in der Hand des {BOSS} ist, Verwaltungssitz in Port Varan, verlässt nur selten die Siedlung, hat minimalen Wohlstand und ist bemüht das Beste für seine Community {BEWOHNER} zu erreichen, indem sie möglichst friedvoll mit der Gang zusammenleben und dafür miteinander auskommen müssen	3	{POLITIKER}	Scherpe
P8	Rebellen	Ma'an	Indigene denen es reicht mit der Gang, die sich widersetzen und Guerilla Taktik fahren	5	{REBELLIN}	3 Waffen nebeneinander
P9	Rebellen Oberhaupt	Wokong	Junger Fischer, der wegen der Trawler und der Perspektivlosigkeit gegen die Gang kämpft und die Indigenen aufhetzt. Es schmerzt ihn, nichts im Leben erreichen zu können ohne Teil der Gang zu werden, sein Bruder wurde vom Boss vor einen fahrenden Zug geschubst, nur aus Spaß und weil er gegen die Anweisungen von {FISHWORKS_LEITER} verstoßen hatte bei seiner Arbeit in Baraki Palms als {NUSSSAMMLER} sich fernzuhalten von Kalanga Fishworks weil er eigentlich nur Bescheid sagen wollte dass sie Öl für die Fabrik übrig hätten	4	{REBELLEN_CHEF}	1 Waffe
P10	Nusssammler und Arbeiter in Baraki Palms	Ma'coco	sind auf der Insel geboren, sehr stark und sportlich, arbeiten körperlich völlig über ihre Grenzen hinaus, verdienen sich ihren Lebensunterhalt mit dem Sammeln von Kokosnüssen und dem Schälen, Trocknen von Kokosnüssen, sowie dem Pressen von Kokosöl. Arbeiten in Baraki Palms. werden von Gang grundlos drangsaliert und schikaniert, der Terror brodelt, sie rasten ab und zu aus, aber werden schnell in die Schranken gewiesen von {GANG} Sie haben sich zusammengeschlossen und {KOOPERATIVE_CHEF} ist ihre Vertrauensperson	6	{NUSSSAMMLER}	3 Kokosnüsse
P11	Hafenmeisterin	Miss Adelaide	Gewiefte Logistikchefin die in Port Varan die Frachtbewegungen zwischen Schiffen und Zügen überwacht, immer gut drauf, macht sich über toxische Männlichkeit lustig und zieht alle auf	3	{HAFENMEISTERIN}	Anker
